NOME_PRODUTO,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO
MTX,ANTINEOPLASICOS CITOTOXICOS,METOTREXATO
MUCOBRONQ,EXPECTORANTES BALSAMICOS E MUCOLITICO,CARBOCISTEÍNA
MUCOFAN,EXPECTORANTES BALSAMICOS E MUCOLITICO,CARBOCISTEÍNA
MUCOLAB,EXPECTORANTES,L-CARBOCISTEÍNA
MUCOLITIL,EXPECTORANTES BALSAMICOS E MUCOLITICO,L-CARBOCISTEÍNA
MUCOSOLVAN,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL
MUCOTRAT,EXPECTORANTES SIMPLES,
MUCOVIT,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL
MUCOXOLAN,EXPECTORANTES,CLORIDRATO DE AMBROXOL
MUD,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,GRAMICIDINA +  NISTATINA +  SULFATO DE NEOMICINA +  TRIANCINOLONA ACETONIDA
MUD ORAL,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,TRIANCINOLONA ACETONIDA
MULKSIN,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL
MULTIGRIP,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENAMINA +  PARACETAMOL
MULTIGRIP,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL
MULTIGRIP,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL
MULTIGRIP DIA,ANALGESICOS NAO NARCOTICOS,CLORIDRATO DE FENILEFRINA +  PARACETAMOL
MULTIGRIP DOR E FEBRE,ANALGESICOS NAO NARCOTICOS,PARACETAMOL
MULTILER,ANTIASMATICOS,MONTELUCASTE DE SÓDIO
MULTISORO ADULTO,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE NAFAZOLINA
MULTIVITAM,POLIVITAMINICOS COM MINERAIS,ACETATO DE TOCOFEROL +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  MONONITRATO DE TIAMINA +  NICOTINAMIDA +  PANTOTENATO DE CALCIO +  PANTOTENATO DE CÁLCIO +  RIBOFLAVINA +  SULFATO DE ZINCO +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO +  ÓXIDO DE COBRE
MUPHORAN,ANTINEOPLASICOS CITOTOXICOS,FOTEMUSTINA
MUPIROCINA,ANTINFECCIOSOS TOPICOS,MUPIROCINA
MUPIROX,ANTIMICOTICOS PARA USO TOPICO,CICLOPIROX OLAMINA
MURICI,ANTINFECCIOSOS TOPICOS,MUPIROCINA
MUSCULARE,RELAXANTES MUSCULARES,CLORIDRATO DE CICLOBENZAPRINA
MUSCUSAN,RELAXANTES MUSCULARES,CLORIDRATO DE CICLOBENZAPRINA
MUVINLAX,LAXANTES,BICARBONATO DE SÓDIO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  MACROGOL 3350
MVASI,ANTINEOPLASICO,BEVACIZUMABE
MYCAMINE,ANTI-FUNGICOS,MICAFUNGINA SÓDICA
MYCOSODIUM,AGENTE IMUNOSUPRESSOR,MICOFENOLATO DE SÓDIO
MYDRIACYL,MIDRIATICOS,TROPICAMIDA
MYDULO,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA
MYFORTIC,AGENTE IMUNOSUPRESSOR,MICOFENOLATO SÓDICO
MYLANTA PLUS,ANTIACIDO,HIDRÓXIDO DE ALUMÍNIO +  HIDRÓXIDO DE MAGNÉSIO +  SIMETICONA
MYLETIN,ANTIDEPRESSIVOS,CLORIDRATO DE VENLAFAXINA
MYLICON,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,SIMETICONA
MYLOTARG,ANTINEOPLASICO,GENTUZUMABE OZOGAMICINA
MYLVESTON,AGENTES ANTINEOPLÁSICOS,FULVESTRANTO
MYLZAR,ANTINEOPLASICO,CLORIDRATO DE GENCITABINA
MYOZYME,ENZIMA PARA REPOSIÇAO,ALFA-ALGLICOSIDASE
MYRAFER,VITAMINAS E SUPLEMENTOS MINERAIS,FERRIPOLIMALTOSE
MYRBETRIC,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,MIRABEGRONA
MYTEDOM,ANALGESICOS NARCOTICOS,CLORIDRATO DE METADONA
MYTFOR,ANTIDIABETICOS,CLORIDRATO DE METFORMINA
MYTFOR LP,ANTIDIABETICOS,CLORIDRATO DE METFORMINA
Maleato de Dexclorfeniramina,ANTI-HISTAMINICOS SISTEMICOS,MALEATO DE DEXCLORFENIRAMINA
Maleato de dexclorfeniramina + Betametasona,ANTI-HISTAMINICOS SISTEMICOS,BETAMETASONA +  MALEATO DE DEXCLORFENIRAMINA
Maleato de enalapril,"INIBIDORES DA ENZIMA CONVERSORA DA ANGIOTENSINA, MONODROGA",MALEATO DE ENALAPRIL
Maleato de midazolam,HIPNOTICOS,MALEATO DE MIDAZOLAM
Manitol 3%,PRODUTOS PARA VIAS URINARIAS,MANITOL
Mekinist,AGENTES ANTINEOPLÁSICOS,DIMETILSULFÓXIDO DE TRAMETINIBE
Melissa Legrand,FITOTERAPICO SIMPLES,MELISSA OFFICINALIS L.
Meloxicam,ANTINFLAMATORIOS,MELOXICAM
MenQuadfi,VACINAS,POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO A CONJUGADO A PROTEÍNA CARREADORA TOXOIDE TETÂNICO +  POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO C CONJUGADO A PROTEÍNA CARREADORA TOXOIDE TETÂNICO +  POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO W CONJUGADO A PROTEÍNA CARREADORA TOXOIDE TETÂNICO  +  POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO Y
Menaka,MEDICAMENTOS AFETANDO A ESTRUTURA ÓSSEA E MINERALIZAÇÃO,MENAEPTENONA
Menveo,VACINAS,OLIGOSSACARÍDEO MENINGOCÓCICO DO GRUPO C +  OLIGOSSACARÍDEO MENINGOCÓCICO A +  OLIGOSSACARÍDEO MENINGOCÓCICO W135 +  OLIGOSSACARÍDEO MENINGOCÓCICO Y
Meritor,ANTIDIABETICOS,CLORIDRATO DE METFORMINA +  GLIMEPIRIDA
Mesotem,ANTINEOPLASICO,PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO
Mevatyl,ANTIESPASMODICOS,TETRAIDROCANABINOL +  CANABIDIOL
Mezp,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,ESOMEPRAZOL SÓDICO
Micend,ANTI-FUNGICOS,VORICONAZOL
Minel,COADJUVANTE NO TRATAMENTO DO CLIMATERIO,TRIFOLIUM PRATENSE L.
Mirtazapina,ANTIDEPRESSIVOS,MIRTAZAPINA
Misacor HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  TELMISARTANA
Modik,IMUNOMODULADOR,IMIQUIMODE
Monboc,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,CLORIDRATO DE ANAGRELIDA
Monessa,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,CISTINA +  LEVEDURA +  NITRATO DE TIAMINA +  PANTOTENATO DE CÁLCIO +  QUERATINA +  ÁCIDO AMINOBENZÓICO
Monocef,ANTIBIOTICOS SISTEMICOS SIMPLES,CEFUROXIMA SÓDICA
Moriale ODT,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE MEMANTINA
Multihance,MEIOS DE CONTRASTE PARA IMAGENS DE RESSONÂNCIA MAGNÉTICA NUCLEAR,GADOBENATO DE DIMEGLUMINA
Mylla,ANTICONCEPCIONAIS,DESOGESTREL
Myllcis,ANTINEOPLASICO,CISPLATINA
Myltol,ANTINEOPLASICO,PACLITAXEL
Mylus,ANTICONCEPCIONAIS,DESOGESTREL
Myra-K7,MEDICAMENTOS AFETANDO A ESTRUTURA ÓSSEA E MINERALIZAÇÃO + VITAMINA K,MENAEPTENONA
MÍNTI,ANTIPARASITARIOS,NITAZOXANIDA
NAC,EXPECTORANTES BALSAMICOS E MUCOLITICO,ACETILCISTEÍNA
NACTALI,ANTICONCEPCIONAIS,DESOGESTREL
NADERM,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA +  SULFATO DE NEOMICINA
NAIRE,ANTI-HISTAMINICOS SISTEMICOS,BILASTINA
NALDECON DIA,ANALGESICOS NAO NARCOTICOS,CLORIDRATO DE FENILEFRINA +  PARACETAMOL
NALDECON MULTI,ANALGESICOS NAO NARCOTICOS,CLORIDRATO DE FENILEFRINA +  PARACETAMOL
NALDECON NOITE,ANALGESICOS NAO NARCOTICOS,CLORIDRATO DE FENILEFRINA +  MALEATO DE CARBINOXAMINA +  PARACETAMOL
NALDECON PACK,ANALGESICOS NAO NARCOTICOS,CLORIDRATO DE FENILEFRINA +  MALEATO DE CARBINOXAMINA +  PARACETAMOL
NALFINA,ANALGESICOS NARCOTICOS,NALBUFINA
NALURIL,ANTIBIOTICOS SISTEMICOS SIMPLES,ÁCIDO NALIDÍXICO
NAPRIX,ANTI-HIPERTENSIVOS,RAMIPRIL
NAPRIX A,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  RAMIPRIL
NAPRIX D,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  RAMIPRIL
NAPRONAX,ANTINFLAMATORIOS ANTIREUMATICOS,NAPROXENO SÓDICO
NAPROX,ANTINFLAMATORIOS ANTIREUMATICOS,NAPROXENO
NAPROXENO,ANTINFLAMATORIOS ANTIREUMATICOS,NAPROXENO
NARAMIG,ANALGESICOS CONTRA ENXAQUECA,CLORIDRATO DE NARATRIPTANA
NARANETY,ANALGESICOS CONTRA ENXAQUECA,CLORIDRATO DE NARATRIPTANA
NARATANO,ANALGESICOS CONTRA ENXAQUECA,CLORIDRATO DE NARATRIPTANA
NARATRIN,ANALGESICOS CONTRA ENXAQUECA,CLORIDRATO DE NARATRIPTANA
NARCAN,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE NALOXONA
NARCEF,ANALGESICOS CONTRA ENXAQUECA,CLORIDRATO DE NARATRIPTANA
NARIDRIN,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE NAFAZOLINA +  DEXPANTENOL +  MALEATO DE MEPIRAMINA
NARIDRIN H,DESCONGESTIONANTES NASAIS TOPICOS,CLORETO DE SÓDIO
NARINEF,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE NAFAZOLINA
NARIX,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE NAFAZOLINA
NAROPIN,ANESTESICOS LOCAIS,CLORIDRATO DE ROPIVACAÍNA MONOIDRATADO
NASACORT,GLICOCORTICOIDES SISTEMICOS,ACETONIDA DE TRIANCINOLONA
NASALFLUX,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE NAFAZOLINA
NASALIV,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CARBINOXAMINA +  PARACETAMOL
NASOCLEAN,DESCONGESTIONANTES NASAIS TOPICOS,ÁGUA DO MAR
NASOFAR AD,DESCONGESTIONANTES NASAIS TOPICOS,CLORETO DE SÓDIO
NASOFLUID,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE NAFAZOLINA
NASOJET 3H,,CLORETO DE SÓDIO
NASONEX®,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA,FUROATO DE MOMETASONA +  FUROATO DE MOMETASONA MONOIDRATADO
NATELE,POLIVITAMINICOS COM MINERAIS,ACETATO DE TOCOFEROL +  CARBONATO DE CÁLCIO +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  COLECALCIFEROL +  FUMARATO FERROSO +  NICOTINAMIDA +  PALMITATO DE RETINOL +  RIBOFLAVINA +  TIAMINA +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO +  ÓXIDO DE ZINCO
NATIFA,ESTROGENOS SIMPLES,ESTRADIOL HEMI-HIDRATADO
NATIFA PRO,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE NORETISTERONA +  ESTRADIOL HEMI-HIDRATADO
NATIFA PRO UBD,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE NORETISTERONA +  ESTRADIOL HEMI-HIDRATADO
NATRILIX,DIURETICOS SIMPLES,INDAPAMIDA
NATUBABY,MEDICAMENTOS DINAMIZADOS COMPOSTOS,CALENDULA OFFICINALIS L. +  HAMAMELIS VIRGINIANA L. +  MATRICARIA CHAMOMILLA L.
NATULAXE,FITOTERAPICO SIMPLES + LAXANTES IRRITANTES OU ESTIMULANTES,SENNA ALEXANDRINA MILL.
NATURETTI,FITOTERAPICO COMPOSTO + LAXANTES,CASSIA FISTULA L. +  SENNA ALEXANDRINA MILL.
NATUS GERIN,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,ACETATO DE TOCOFEROL +  ADENOSINA +  BIOTINA +  BITARTARATO DE COLINA +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  FOSFATO DE CÁLCIO DIBÁSICO +  INOSITOL +  NICOTINAMIDA +  PALMITATO DE RETINOL +  PANAX GINSENG C. A. MEY. +  PANTOTENATO DE CALCIO +  RIBOFLAVINA +  SULFATO FERROSO +  TIAMINA +  LEVOMETIONINA +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO
NAUDAN ODT,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
NAUSEDRON,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
NAUSICALM B6,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO DE PIRIDOXINA +  DIMENIDRINATO
NAUSILON B6,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO DE PIRIDOXINA +  DIMENIDRINATO
NAUTEX,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
NAUTRODAX INJ,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
NAVELBINE,ANTINEOPLASICOS CITOTOXICOS,TARTARATO DE VINORELBINA
NAXOTEC,ANTINFLAMATORIOS,NAPROXENO
NAXTRI,ANTINFLAMATORIOS,NAPROXENO SÓDICO
NAXXAGRAN,ANTIPARASITARIOS,NITAZOXANIDA
NEBACETIN,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA
NEBACIDERME,ANTINFECCIOSOS TOPICOS,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA
NEBACIDERME,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA
NEBACIMED,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,BACITRACINA +  SULFATO DE NEOMICINA
NEBACTRINA,ANTINFECCIOSOS TOPICOS,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA
NEBIDO,ANDROGENOS SIMPLES,UNDECILATO DE TESTOSTERONA
NEBILET,ANTI-HIPERTENSIVOS,CLORIDRATO DE NEBIVOLOL
NEBIPRE,ANTI-HIPERTENSIVOS,CLORIDRATO DE NEBIVOLOL
NEBITAH,ANTI-HIPERTENSIVOS,CLORIDRATO DE NEBIVOLOL
NEBLOCK,ANTI-HIPERTENSIVOS,CLORIDRATO DE NEBIVOLOL
NEMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,SULFATO DE NEOMICINA
NEMODINE,ANTI-HIPERTENSIVOS SIMPLES,BESILATO DE AMLODIPINA
NENE DENT N,PRODUTOS ODONTOLOGICOS,CLORIDRATO DE LIDOCAÍNA MONOIDRATADA  +  MATRICARIA CHAMOMILLA L. +  POLIDOCANOL
NEO CEBETIL COMPLEXO,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  FRUTOSE +  NICOTINAMIDA +  FOSFATO SÓDICO DE RIBOFLAVINA +  ÁCIDO ASCÓRBICO
NEO DECAPEPTYL,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,EMBONATO DE TRIPTORRELINA
NEO FEDIPINA,ANTIANGINOSOS E VASODILATADORES,NIFEDIPINA
NEO FRESH,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,CARMELOSE SÓDICA
NEO FÓLICO,ANTIANEMICOS,ÁCIDO FÓLICO
NEO GENTAMICIN,ANTIBIOTICOS SISTEMICOS SIMPLES,SULFATO DE GENTAMICINA
NEO HIDROCLOR,DIURETICOS,HIDROCLOROTIAZIDA
NEO LINCO,ANTIBIOTICOS SISTEMICOS SIMPLES,CLORIDRATO DE LIDOCAINA +  CLORIDRATO DE LINCOMICINA
NEO LORATADIN,ANTI-HISTAMINICOS SISTEMICOS,LORATADINA
NEO MISTATIN,ANTIMICOTICO,NISTATINA
NEO-ZINCTRACE,NUTRIENTES PARENTERAIS,SULFATO DE ZINCO HEPTAIDRATADO
NEOCAINA,ANESTESICOS LOCAIS,CLORIDRATO DE BUPIVACAÍNA
NEOCAINA PESADA,ANESTESICOS LOCAIS,CLORIDRATO DE BUPIVACAÍNA +  GLICOSE
NEOCAÍNA COM VASOCONSTRITOR,ANESTESICOS LOCAIS,CLORIDRATO DE BUPIVACAÍNA +  HEMITARTARATO DE EPINEFRINA
NEOCETHEO,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,BACITRACINA ZÍNCICA +  METILPARABENO +  SULFATO DE NEOMICINA
NEOCLAVOX,ANTIBIOTICOS SISTEMICOS SIMPLES,AMOCIXILINA TRIHIDRATADA +  ÁCIDO CLAVULÂNICO
NEOCOFLAN,ANTINFLAMATORIOS,DICLOFENACO DIETILAMÔNIO
NEOCOPAN COMPOSTO,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,BUTILBROMETO DE ESCOPOLAMINA +  DIPIRONA MONOIDRATADA
NEOCORTIN,GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES,FOSFATO SODICO DE DEXAMETASONA +  SULFATO DE NEOMICINA
NEODIA,ANTICONCEPCIONAIS,LEVONORGESTREL
NEOLEFRIN,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CARBINOXAMINA +  PARACETAMOL
NEOLEFRIN DIA,ANALGESICOS NAO NARCOTICOS,CLORIDRATO DE FENILEFRINA +  PARACETAMOL
NEOMED,ANTINFECCIOSOS TOPICOS,SULFATO DE NEOMICINA
NEOMETRODAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,METRONIDAZOL
NEOMICON,ANTINFECCIOSOS,NEOMICINA
NEONAZOL,DESCONGESTIONANTES NASAIS TOPICOS,CLORETO DE BENZALCÔNIO +  CLORETO DE SÓDIO +  CLORIDRATO DE NAFAZOLINA
NEOPANTOL,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,DEXPANTENOL
NEOPIRIDIN,PRODUTOS PARA OROFARINGE,BENZOCAÍNA +  CLORETO DE CETILPIRIDÍNIO
NEOPLEXUS,PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  NITRATO DE TIAMINA
NEOPRAZOL,ANTIULCEROSOS,OMEPRAZOL
NEOPROFEN,ANTINFLAMATORIOS,LEVOLISINATO DE IBUPROFENO
NEOSALDINA,ANALGESICOS NAO NARCOTICOS,CAFEÍNA ANIDRA +  CLORIDRATO DE ISOMETEPTENO +  DIPIRONA +  MUCATO DE ISOMETEPTENO
NEOSALDINA DIP,ANALGESICOS NAO NARCOTICOS,DIPIRONA MONOIDRATADA
NEOSEMID,DIURETICOS SIMPLES,FUROSEMIDA
NEOSORO,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE NAFAZOLINA
NEOSORO H,DESCONGESTIONANTES NASAIS TOPICOS,CLORETO DE SÓDIO
NEOSSOLVAN,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL
NEOSTIGMIN,ANTIMIASTENICOS E DESCURARIZANTES,METILSULFATO DE NEOSTIGMINA
NEOSULIDA,ANTINFLAMATORIOS,NIMESULIDA
NEOTAREN,ANTINFLAMATORIOS ANTIREUMATICOS,DICLOFENACO SÓDICO
NEOTIAPIM,ANTIPSICOTICOS,HEMIFUMARATO DE QUETIAPINA
NEOTIGASON,CERATOLITICOS E CERATOPLASTICOS,ACITRETINA
NEOTOSS,ANTITUSSIGENOS,DROPROPIZINA
NEOTRICIN,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA
NEOVANGY MR,ANTIANGINOSOS E VASODILATADORES,DICLORIDRATO DE TRIMETAZIDINA
NEOVLAR,ANTICONCEPCIONAIS,ETINILESTRADIOL +  LEVONORGESTREL
NEOZINE,NEUROLEPTICOS,CLORIDRATO DE LEVOMEPROMAZINA +  MALEATO DE LEVOMEPROMAZINA
NEPEXTO,ANTINFLAMATORIOS,ETANERCEPTE
NEPHROTECT,NUTRIENTES PARENTERAIS,ACETATO DE LISINA +  GLICINA +  L-ALANINA +  L-ARGININA +  L-FENILALANINA +  L-HISTIDINA +  L-ISOLEUCINA +  L-LEUCINA +  L-METIONINA +  L-PROLINA +  L-SERINA +  L-TIROSINA +  L-TREONINA +  L-TRIPTOFANO +  LEVOVALINA +  N-ACETIL CISTEÍNA +  GLICILTIROSINA
NEPIL,ANTICONVULSIVANTES,LAMOTRIGINA
NEPRAZOL,ANTIULCEROSOS,OMEPRAZOL
NEPRESOL,ANTI-HIPERTENSIVOS SIMPLES,CLORIDRATO DE HIDRALAZINA
NERALGYN,ANALGESICOS NAO NARCOTICOS,CAFEÍNA ANIDRA +  MUCATO DE ISOMETEPTENO +  DIPIRONA MONOIDRATADA
NERISONA,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,VALERATO DE DIFLUCORTOLONA
NERLYNX,AGENTES ANTINEOPLÁSICOS,MALEATO DE NERATINIBE
NERVAMIN,MONOVITAMINAS EXCETO VITAMINA K,CLORIDRATO DE TIAMINA
NERVOCALM,MEDICAMENTOS DINAMIZADOS COMPOSTOS,ARGENTUM NITRICUM +  KALI BROMATUM
NERVOHEEL N,MEDICAMENTOS DINAMIZADOS COMPOSTOS,ACIDUM PHOSPHORICUM +  KALIUM BROMATUM +  STRYCHNOS IGNATII +  SEPIA OFFICINALIS +  ZINCUM ISOVALERIANICUM
NESH CÁLCIO,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,CARBONATO DE CÁLCIO
NESH FERRO,ANTIANEMICOS SIMPLES,SULFATO FERROSO
NESH ZINCO,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,SULFATO DE ZINCO
NESINA,ANTIDIABETICOS,BENZOATO DE ALOGLIPTINA
NESINA PIO,ANTIDIABETICOS,CLORIDRATO DE PIOGLITAZONA +  BENZOATO DE ALOGLIPTINA
NEUGABA,ANTICONVULSIVANTES,PREGABALINA
NEUGRAST,ANTINEOPLASICO,FLUORURACILA
NEULASTIM,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,PEGFILGRASTIM
NEULEPTIL,NEUROLEPTICOS,PERICIAZINA
NEUMOSIN,ANTIBIOTICOS SISTEMICOS SIMPLES,CLORIDRATO DE MOXIFLOXACINO
NEUPINE,ANTIPSICOTICOS,OLANZAPINA
NEUPRO,ANTIPARKINSONIANOS,ROTIGOTINA
NEURAL,ANTICONVULSIVANTES,LAMOTRIGINA
NEUREXAN,MEDICAMENTOS DINAMIZADOS COMPOSTOS,AVENA SATIVA L. +  COFFEA ARABICA +  PASSIFLORA INCARNATA +  ZINCUM ISOVALERIANICUM
NEURI - B6,MONOVITAMINAS EXCETO VITAMINA K,CLORIDRATO DE PIRIDOXINA
NEURIVIT,MONOVITAMINAS EXCETO VITAMINA K,CLORIDRATO DE TIAMINA
NEUROCONTROL,ANTICONVULSIVANTES,GABAPENTINA
NEURONTIN,ANTICONVULSIVANTES,GABAPENTINA
NEUTOSS,BRONCODILATADORES,SULFATO DE SALBUTAMOL
NEUTROFER,ANTIANEMICOS,BISGLICINATO FERROSO +  GLICINATO FÉRRICO
NEUTROFER  FÓLICO,ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS,BISGLICINATO FERROSO +  ÁCIDO FÓLICO
NEVANAC,ANTINFLAMATORIOS,NEPAFENACO
NEVIRAX,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),NEVIRAPINA
NEVRALGEX,RELAXANTES MUSCULARES CENTRAIS SIMPLES,CAFEÍNA ANIDRA +  CITRATO DE ORFENADRINA +  DIPIRONA MONOIDRATADA
NEVRIX,PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  NITRATO DE TIAMINA
NEVRIX IM,PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA
NEWCET,ANESTESICOS GERAIS INJETAVEIS,CLORIDRATO DE ESCETAMINA
NEXAVAR,ANTINEOPLASICO,TOSILATO DE SORAFENIBE
NEXCARE,ANTISSEPTICO,CLORETO DE BENZALCÔNIO +  CLORIDRATO DE LIDOCAÍNA MONOIDRATADA 
NEXFLEN,ANTINFLAMATORIOS,NAPROXENO SÓDICO
NEXIUM,ANTIULCEROSOS,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
NEXIUM IV,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,ESOMEPRAZOL SÓDICO
NEXOPRAX,ANTINFLAMATORIOS,NAPROXENO SÓDICO
NEXPRAZIN,ANTIULCEROSOS,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
NEXT,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL
NEXVIAZYME,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,ALFA-AVALGLICOSIDASE
NIBISNU,NITROSUREIAS ALQUILANTES,CARMUSTINA
NICE,DILUENTES E VEICULOS DE MEDICAMENTOS,CLORETO DE SÓDIO
NICORETTE,ANTITABAGICO,NICOTINA
NICOTINELL,ANTITABAGICO,NICOTINA
